tweet_id,tweet_text,topic,relevant
115,Investing in renewable energy can support a greener economy. #SaveThePlanet,renewable_energy,1
99,Protecting marine habitats helps preserve biodiversity. #SaveThePlanet,ocean,1
173,Electric public transport can help reduce urban pollution. #SaveThePlanet,transport,1
133,Responsible waste management is essential for a cleaner environment. #SaveThePlanet,recycling,1
46,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
232,My laptop battery lasted all day today.,unrelated,0
185,Climate change requires immediate action from governments and communities.,climate,1
80,Every piece of plastic we avoid can make a difference. #SaveThePlanet,plastic,1
2,Communities can improve sustainability through better recycling programs. #SaveThePlanet,recycling,1
8,Protecting oceans is essential for marine ecosystems.,ocean,1
174,Forests play an important role in absorbing carbon dioxide. #SaveThePlanet,nature,1
135,Every community can contribute to climate action. #SaveThePlanet,climate,1
130,Protecting the climate requires long-term sustainable choices.,climate,1
29,Electric public transport can help reduce urban pollution. #SaveThePlanet,transport,1
215,Better recycling habits can help create cleaner communities. #SaveThePlanet,recycling,1
165,Walking instead of driving can reduce unnecessary carbon emissions. #SaveThePlanet,transport,1
249,The concert last night was absolutely amazing.,unrelated,0
18,"Ocean pollution threatens fish, turtles, and other marine animals.",ocean,1
93,We need stronger solutions to address global warming. #SaveThePlanet,climate,1
214,Electric public transport can help reduce urban pollution. #SaveThePlanet,transport,1
201,Small environmental choices can create a larger positive impact. #SaveThePlanet,environment,1
227,I have an exam tomorrow and need to study.,unrelated,0
47,Reducing pollution is one way to protect our oceans. #SaveThePlanet,ocean,1
155,"Climate change affects ecosystems, agriculture, and communities. #SaveThePlanet",climate,1
25,Planting trees can support biodiversity and improve local ecosystems. #SaveThePlanet,nature,1
248,I am planning a trip with my friends next weekend.,unrelated,0
90,Climate change requires immediate action from governments and communities. #SaveThePlanet,climate,1
187,Clean energy is an important part of a sustainable future. #SaveThePlanet,renewable_energy,1
138,Bike-friendly cities can encourage cleaner transportation choices. #SaveThePlanet,transport,1
171,Bike-friendly cities can encourage cleaner transportation choices. #SaveThePlanet,transport,1
66,Climate change requires immediate action from governments and communities. #SaveThePlanet,climate,1
94,Clean power technologies can help reduce carbon emissions.,renewable_energy,1
15,Protecting marine habitats helps preserve biodiversity.,ocean,1
95,Protecting marine habitats helps preserve biodiversity.,ocean,1
240,My computer installed a new software update.,unrelated,0
172,Better recycling habits can help create cleaner communities. #SaveThePlanet,recycling,1
100,Communities can protect nature by preserving green spaces. #SaveThePlanet,nature,1
59,Every piece of plastic we avoid can make a difference. #SaveThePlanet,plastic,1
5,Communities can improve sustainability through better recycling programs. #SaveThePlanet,recycling,1
246,This new phone has a surprisingly good camera.,unrelated,0
52,Electric vehicles can help reduce dependence on fossil fuels.,transport,1
85,Everyone can contribute to waste reduction through responsible recycling. #SaveThePlanet,recycling,1
149,"Climate change affects ecosystems, agriculture, and communities. #SaveThePlanet",climate,1
205,Our natural resources should be protected for future generations. #SaveThePlanet,environment,1
89,Solar panels can help homes reduce their dependence on fossil fuels. #SaveThePlanet,renewable_energy,1
112,Restoring damaged ecosystems can support biodiversity.,nature,1
96,Choose reusable products instead of disposable plastic items. #SaveThePlanet,plastic,1
202,Nature conservation benefits both wildlife and people. #SaveThePlanet,nature,1
212,Clean seas are important for a healthy planet. #SaveThePlanet,ocean,1
86,Protecting the climate requires long-term sustainable choices. #SaveThePlanet,climate,1
42,Every community can contribute to climate action.,climate,1
188,Small climate-friendly actions can create meaningful change.,climate,1
53,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
175,A sustainable future depends on responsible decisions today.,environment,1
190,A transition to clean energy can benefit the environment. #SaveThePlanet,renewable_energy,1
245,The concert last night was absolutely amazing.,unrelated,0
63,Electric vehicles can help reduce dependence on fossil fuels. #SaveThePlanet,transport,1
82,Solar energy provides a cleaner alternative to fossil fuels.,renewable_energy,1
56,A lower carbon footprint can help fight climate change. #SaveThePlanet,climate,1
166,Protecting the climate requires long-term sustainable choices. #SaveThePlanet,climate,1
128,Using buses and trains can reduce the number of cars on the road. #SaveThePlanet,transport,1
36,Bike-friendly cities can encourage cleaner transportation choices. #SaveThePlanet,transport,1
57,Everyone can contribute to waste reduction through responsible recycling. #SaveThePlanet,recycling,1
84,We need stronger solutions to address global warming. #SaveThePlanet,climate,1
67,Protecting forests helps preserve habitats for wildlife. #SaveThePlanet,nature,1
61,Recycling can reduce pressure on landfills and natural resources. #SaveThePlanet,recycling,1
23,Recycling paper and plastic can conserve valuable resources. #SaveThePlanet,recycling,1
97,Climate action today can protect future generations. #SaveThePlanet,climate,1
119,Environmental awareness can inspire people to make better choices. #SaveThePlanet,environment,1
6,Choose reusable products instead of disposable plastic items. #SaveThePlanet,plastic,1
122,Reusing and recycling materials can reduce unnecessary waste. #SaveThePlanet,recycling,1
35,Investing in renewable energy can support a greener economy. #SaveThePlanet,renewable_energy,1
106,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
125,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
195,Sorting household waste makes recycling more effective. #SaveThePlanet,recycling,1
3,Fighting global warming requires cooperation across countries. #SaveThePlanet,climate,1
76,Sustainable transportation can make cities cleaner and healthier.,transport,1
144,Wind power can generate electricity without burning fossil fuels. #SaveThePlanet,renewable_energy,1
132,Public transportation can help reduce emissions from private vehicles. #SaveThePlanet,transport,1
108,Green spaces can improve the quality of life in communities. #SaveThePlanet,nature,1
87,Biodiversity is important for healthy and resilient ecosystems. #SaveThePlanet,nature,1
124,Choosing sustainable transportation can lower our carbon footprint. #SaveThePlanet,transport,1
154,Protecting the planet requires action from everyone. #SaveThePlanet,environment,1
24,Clean seas are important for a healthy planet. #SaveThePlanet,ocean,1
7,Electric vehicles can help reduce dependence on fossil fuels. #SaveThePlanet,transport,1
234,I am planning a trip with my friends next weekend.,unrelated,0
83,Climate action today can protect future generations. #SaveThePlanet,climate,1
111,Communities can improve sustainability through better recycling programs. #SaveThePlanet,recycling,1
11,Protecting forests helps preserve habitats for wildlife. #SaveThePlanet,nature,1
178,Clean power technologies can help reduce carbon emissions. #SaveThePlanet,renewable_energy,1
203,Walking instead of driving can reduce unnecessary carbon emissions. #SaveThePlanet,transport,1
127,Protecting oceans is essential for marine ecosystems. #SaveThePlanet,ocean,1
129,Forests play an important role in absorbing carbon dioxide. #SaveThePlanet,nature,1
70,Sorting household waste makes recycling more effective. #SaveThePlanet,recycling,1
104,Solar panels can help homes reduce their dependence on fossil fuels. #SaveThePlanet,renewable_energy,1
207,Every community can contribute to climate action.,climate,1
120,Sustainability starts with the choices we make every day. #SaveThePlanet,environment,1
32,Using buses and trains can reduce the number of cars on the road. #SaveThePlanet,transport,1
228,This new phone has a surprisingly good camera.,unrelated,0
163,Protecting wildlife habitats helps maintain ecological balance.,nature,1
189,Every person can contribute to building a healthier planet.,environment,1
43,Recycling paper and plastic can conserve valuable resources. #SaveThePlanet,recycling,1
186,Communities can improve sustainability through better recycling programs.,recycling,1
160,Recycling helps keep useful materials in circulation.,recycling,1
37,Environmental responsibility should be part of everyday life. #SaveThePlanet,environment,1
69,Walking instead of driving can reduce unnecessary carbon emissions. #SaveThePlanet,transport,1
210,Healthy ecosystems are essential for a sustainable planet. #SaveThePlanet,nature,1
197,Protecting marine habitats helps preserve biodiversity.,ocean,1
140,Choosing sustainable transportation can lower our carbon footprint.,transport,1
238,I have an exam tomorrow and need to study.,unrelated,0
109,Walking instead of driving can reduce unnecessary carbon emissions. #SaveThePlanet,transport,1
51,Solar panels can help homes reduce their dependence on fossil fuels. #SaveThePlanet,renewable_energy,1
191,Climate action today can protect future generations. #SaveThePlanet,climate,1
180,Sustainability starts with the choices we make every day. #SaveThePlanet,environment,1
239,I am learning a new programming language.,unrelated,0
216,Our natural resources should be protected for future generations.,environment,1
117,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
231,My favorite team won the match today.,unrelated,0
74,Environmental awareness can inspire people to make better choices.,environment,1
60,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
9,Investing in renewable energy can support a greener economy. #SaveThePlanet,renewable_energy,1
242,The concert last night was absolutely amazing.,unrelated,0
230,The weather was perfect for a morning walk.,unrelated,0
199,Protecting forests helps preserve habitats for wildlife. #SaveThePlanet,nature,1
194,Bike-friendly cities can encourage cleaner transportation choices.,transport,1
105,Environmental responsibility should be part of everyday life. #SaveThePlanet,environment,1
1,Climate change requires immediate action from governments and communities. #SaveThePlanet,climate,1
177,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
20,Healthy ecosystems are essential for a sustainable planet. #SaveThePlanet,nature,1
243,My laptop battery lasted all day today.,unrelated,0
45,Plastic-free choices can help create a healthier planet. #SaveThePlanet,plastic,1
62,Environmental awareness can inspire people to make better choices.,environment,1
41,Clean seas are important for a healthy planet.,ocean,1
21,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
170,Every piece of plastic we avoid can make a difference. #SaveThePlanet,plastic,1
68,Recycling can reduce pressure on landfills and natural resources. #SaveThePlanet,recycling,1
55,Small environmental choices can create a larger positive impact. #SaveThePlanet,environment,1
161,Environmental awareness can inspire people to make better choices. #SaveThePlanet,environment,1
54,Nature conservation benefits both wildlife and people.,nature,1
26,Every piece of plastic we avoid can make a difference. #SaveThePlanet,plastic,1
157,Nature conservation benefits both wildlife and people. #SaveThePlanet,nature,1
16,Green spaces can improve the quality of life in communities. #SaveThePlanet,nature,1
198,Every piece of plastic we avoid can make a difference. #SaveThePlanet,plastic,1
146,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
79,Recycling helps reduce the amount of waste sent to landfills. #SaveThePlanet,recycling,1
110,Planting trees can support biodiversity and improve local ecosystems.,nature,1
151,Recycling paper and plastic can conserve valuable resources. #SaveThePlanet,recycling,1
77,Every person can contribute to building a healthier planet. #SaveThePlanet,environment,1
114,Recycling paper and plastic can conserve valuable resources.,recycling,1
116,Forests play an important role in absorbing carbon dioxide.,nature,1
98,Fighting global warming requires cooperation across countries. #SaveThePlanet,climate,1
134,Green spaces can improve the quality of life in communities. #SaveThePlanet,nature,1
58,Climate change requires immediate action from governments and communities. #SaveThePlanet,climate,1
159,Clean power technologies can help reduce carbon emissions. #SaveThePlanet,renewable_energy,1
153,Recycling paper and plastic can conserve valuable resources.,recycling,1
156,Environmental responsibility should be part of everyday life.,environment,1
107,Renewable sources such as solar and wind can support energy sustainability. #SaveThePlanet,renewable_energy,1
196,Sorting household waste makes recycling more effective. #SaveThePlanet,recycling,1
143,Recycling can reduce pressure on landfills and natural resources. #SaveThePlanet,recycling,1
31,Protecting marine habitats helps preserve biodiversity. #SaveThePlanet,ocean,1
64,Using buses and trains can reduce the number of cars on the road. #SaveThePlanet,transport,1
22,Small climate-friendly actions can create meaningful change. #SaveThePlanet,climate,1
78,A sustainable future depends on responsible decisions today. #SaveThePlanet,environment,1
145,Protecting forests helps preserve habitats for wildlife.,nature,1
208,Better recycling habits can help create cleaner communities. #SaveThePlanet,recycling,1
220,Forests play an important role in absorbing carbon dioxide.,nature,1
39,Marine ecosystems need protection from plastic and chemical pollution. #SaveThePlanet,ocean,1
225,I have an exam tomorrow and need to study.,unrelated,0
176,Reducing plastic consumption is an important environmental action. #SaveThePlanet,plastic,1
162,Every community can contribute to climate action. #SaveThePlanet,climate,1
148,Better recycling habits can help create cleaner communities. #SaveThePlanet,recycling,1
19,Protecting the climate requires long-term sustainable choices. #SaveThePlanet,climate,1
236,The weather was perfect for a morning walk.,unrelated,0
103,Protecting oceans is essential for marine ecosystems. #SaveThePlanet,ocean,1
17,Climate change requires immediate action from governments and communities. #SaveThePlanet,climate,1
211,Biodiversity is important for healthy and resilient ecosystems. #SaveThePlanet,nature,1
30,Clean energy is an important part of a sustainable future. #SaveThePlanet,renewable_energy,1
229,My laptop battery lasted all day today.,unrelated,0
221,The birthday party was a lot of fun.,unrelated,0
65,Protecting the planet requires action from everyone. #SaveThePlanet,environment,1
244,The weather was perfect for a morning walk.,unrelated,0
48,Reducing greenhouse gas emissions can help slow climate change. #SaveThePlanet,climate,1
88,Communities can protect nature by preserving green spaces. #SaveThePlanet,nature,1
113,Cleaner transportation is an important part of sustainable cities. #SaveThePlanet,transport,1
123,Every community can contribute to climate action. #SaveThePlanet,climate,1
121,Communities can improve sustainability through better recycling programs. #SaveThePlanet,recycling,1
73,Recycling paper and plastic can conserve valuable resources. #SaveThePlanet,recycling,1
147,Recycling paper and plastic can conserve valuable resources. #SaveThePlanet,recycling,1
250,#SaveThePlanet,hashtag_only,1
224,I spent the afternoon reading a book.,unrelated,0
27,We need stronger solutions to address global warming.,climate,1
126,Cleaner beaches can help protect coastal wildlife. #SaveThePlanet,ocean,1
193,Protecting marine habitats helps preserve biodiversity. #SaveThePlanet,ocean,1
223,I just bought a new pair of running shoes.,unrelated,0
164,Climate action today can protect future generations. #SaveThePlanet,climate,1
247,I just bought a new pair of running shoes.,unrelated,0
179,Keeping waste away from waterways helps protect ocean life. #SaveThePlanet,ocean,1
75,Plastic pollution threatens marine life and our environment. #SaveThePlanet,plastic,1
142,Nature conservation benefits both wildlife and people. #SaveThePlanet,nature,1
14,Protecting the climate requires long-term sustainable choices. #SaveThePlanet,climate,1
12,A lower carbon footprint can help fight climate change.,climate,1
71,Climate change requires immediate action from governments and communities. #SaveThePlanet,climate,1
33,Renewable sources such as solar and wind can support energy sustainability. #SaveThePlanet,renewable_energy,1
137,Clean seas are important for a healthy planet. #SaveThePlanet,ocean,1
182,Sustainable transportation can make cities cleaner and healthier.,transport,1
4,Public transportation can help reduce emissions from private vehicles. #SaveThePlanet,transport,1
